n,date,stage,home,away,score_90,result,et,model_commit,commit_utc,p_h,p_d,p_a,pred_score,pick,pick_correct,exact_score,brier,logloss,p_result,frozen_brier,frozen_pick_correct,frozen_exact,brier_uniform,brier_baserate
77,2026-06-30,knockout,Côte d'Ivoire,Norway,1-2,A,0,5d8603de,2026-06-29 01:50,0.212,0.338,0.45,1-1,A,1,0,0.4617,0.7985,0.45,0.4092,1,0,0.6667,0.653
78,2026-06-30,knockout,France,Sweden,3-0,H,0,5d8603de,2026-06-29 01:50,0.489,0.377,0.133,2-1,H,1,0,0.4209,0.7154,0.489,0.2265,1,0,0.6667,0.4967
79,2026-07-01,knockout,Mexico,Ecuador,2-0,H,0,3e8a0e97,2026-06-30 08:36,0.347,0.506,0.147,0-0,D,0,0,0.7041,1.0584,0.347,0.6086,1,0,0.6667,0.4967
80,2026-07-01,knockout,England,DR Congo,2-1,H,0,3e8a0e97,2026-06-30 08:36,0.409,0.515,0.076,1-0,D,0,0,0.6203,0.894,0.409,0.2318,1,0,0.6667,0.4967
81,2026-07-01,knockout,Belgium,Senegal,2-2,D,1,3e8a0e97,2026-06-30 08:36,0.447,0.381,0.172,1-1,H,0,0,0.6126,0.965,0.381,0.7481,0,0,0.6667,0.9186
82,2026-07-02,knockout,USA,Bosnia & Herzegovina,2-0,H,0,62786f17,2026-07-01 09:32,0.486,0.411,0.103,2-0,H,1,1,0.4437,0.7215,0.486,0.3769,1,0,0.6667,0.4967
83,2026-07-02,knockout,Spain,Austria,3-0,H,0,62786f17,2026-07-01 09:32,0.449,0.449,0.102,1-0,H,1,0,0.5156,0.8007,0.449,0.3136,1,0,0.6667,0.4967
84,2026-07-02,knockout,Portugal,Croatia,2-1,H,0,62786f17,2026-07-01 09:32,0.446,0.345,0.208,1-1,H,1,0,0.4692,0.8074,0.446,0.5618,1,0,0.6667,0.4967
85,2026-07-03,knockout,Switzerland,Algeria,2-0,H,0,49b19ecf,2026-07-02 07:13,0.431,0.382,0.187,1-1,H,1,0,0.5047,0.8416,0.431,0.4778,1,0,0.6667,0.4967
86,2026-07-03,knockout,Australia,Egypt,1-1,D,1,49b19ecf,2026-07-02 07:13,0.28,0.483,0.237,0-0,D,1,0,0.4019,0.7277,0.483,0.6398,0,0,0.6667,0.9186
87,2026-07-03,knockout,Argentina,Cabo Verde,1-1,D,1,49b19ecf,2026-07-02 07:13,0.615,0.348,0.037,2-0,H,0,0,0.8047,1.0556,0.348,1.5176,0,0,0.6667,0.9186
88,2026-07-04,knockout,Colombia,Ghana,1-0,H,0,239c70ea,2026-07-03 07:47,0.383,0.451,0.166,0-0,D,0,0,0.6116,0.9597,0.383,0.3313,1,1,0.6667,0.4967
89,2026-07-04,knockout,Canada,Morocco,0-3,A,0,239c70ea,2026-07-03 07:47,0.183,0.42,0.397,1-1,D,0,0,0.5735,0.9238,0.397,0.3304,1,0,0.6667,0.653
90,2026-07-04,knockout,Paraguay,France,0-1,A,0,239c70ea,2026-07-03 07:47,0.081,0.395,0.524,0-2,A,1,0,0.3892,0.6463,0.524,0.2612,1,1,0.6667,0.653
91,2026-07-05,knockout,Brazil,Norway,1-2,A,0,e075ee88,2026-07-04 23:52,0.47,0.306,0.224,2-1,H,0,0,0.9167,1.4961,0.224,0.7426,0,0,0.6667,0.653
92,2026-07-06,knockout,Mexico,England,2-3,A,0,153e1ccd,2026-07-05 22:47,0.231,0.402,0.367,0-0,D,0,0,0.6157,1.0024,0.367,0.3645,1,0,0.6667,0.653
93,2026-07-06,knockout,Portugal,Spain,0-1,A,0,153e1ccd,2026-07-05 22:47,0.205,0.326,0.47,1-1,A,1,0,0.4292,0.755,0.47,0.2733,1,0,0.6667,0.653
94,2026-07-07,knockout,USA,Belgium,1-4,A,0,73f33cb0,2026-07-06 11:20,0.233,0.311,0.456,1-1,A,1,0,0.4469,0.7853,0.456,0.3613,1,0,0.6667,0.653
95,2026-07-07,knockout,Argentina,Egypt,3-2,H,0,73f33cb0,2026-07-06 11:20,0.55,0.31,0.14,1-0,H,1,0,0.3182,0.5978,0.55,0.3753,1,0,0.6667,0.4967
96,2026-07-07,knockout,Switzerland,Colombia,0-0,D,1,73f33cb0,2026-07-06 11:20,0.269,0.337,0.394,1-1,A,0,0,0.6672,1.0877,0.337,0.7298,0,0,0.6667,0.9186
97,2026-07-09,knockout,France,Morocco,2-0,H,0,284a8d4c,2026-07-07 23:49,0.317,0.372,0.311,1-1,D,0,0,0.7016,1.1489,0.317,0.7787,0,0,0.6667,0.4967
98,2026-07-10,knockout,Spain,Belgium,2-1,H,0,284a8d4c,2026-07-07 23:49,0.381,0.365,0.254,1-1,H,1,0,0.5809,0.965,0.381,0.4423,1,0,0.6667,0.4967
99,2026-07-11,knockout,Norway,England,1-2,A,0,66251b5d,2026-07-10 07:33,0.224,0.264,0.512,1-1,A,1,0,0.358,0.6694,0.512,0.3088,1,0,0.6667,0.653
100,2026-07-12,knockout,Argentina,Switzerland,3-1,H,0,8b2363b7,2026-07-11 07:41,0.491,0.328,0.181,1-1,H,1,0,0.3994,0.7113,0.491,0.5169,1,0,0.6667,0.4967
101,2026-07-14,knockout,France,Spain,0-2,A,0,ff0eed01,2026-07-13 23:46,0.293,0.378,0.329,1-1,D,0,0,0.679,1.1117,0.329,0.3362,1,0,0.6667,0.653
102,2026-07-15,knockout,England,Argentina,1-2,A,0,d5c90d07,2026-07-14 22:00,0.311,0.342,0.347,1-1,A,1,0,0.6401,1.0584,0.347,0.8438,0,0,0.6667,0.653
103,2026-07-18,knockout,France,England,4-6,A,0,53b8b0e1,2026-07-16 02:46,0.441,0.331,0.228,1-1,H,0,0,0.9,1.4784,0.228,0.3802,1,0,0.6667,0.653
104,2026-07-19,knockout,Spain,Argentina,0-0,D,1,285efb1b,2026-07-18 23:07,0.437,0.389,0.174,0-0,H,0,1,0.5946,0.9442,0.389,0.7817,0,0,0.6667,0.9186
